Airline,Source,Source Name,Destination,Destination Name,Departure Date & Time,Arrival Date & Time,Duration (hrs),Stopovers,Aircraft Type,Class,Booking Source,Base Fare (BDT),Tax & Surcharge (BDT),Total Fare (BDT),Seasonality,Days Before Departure
IndiGo,CXB,Cox's Bazar Airport,JFK,"John F. Kennedy International Airport, New York",2025-03-28,2025-03-29,15.69936443,1 Stop,Airbus A350,First Class,Travel Agency,42821.61153,12423.24173,55244.85326,Regular,56
Singapore Airlines,JSR,Jessore Airport,BKK,"Suvarnabhumi Airport, Bangkok",2025-10-29,2025-10-29,2.444228475,1 Stop,Boeing 787,Economy,Travel Agency,44226.20698,12633.93105,56860.13802,Regular,9
Saudia,ZYL,"Osmani International Airport, Sylhet",SPD,Saidpur Airport,2026-01-11,2026-01-11,0.932598434,Direct,Airbus A320,Economy,Direct Booking,5223.216892,200,5423.216892,Winter Holidays,31
Air Arabia,ZYL,"Osmani International Airport, Sylhet",CCU,"Netaji Subhas Chandra Bose International Airport, Kolkata",2025-10-04,2025-10-04,1.553966361,Direct,Airbus A320,Business,Online Website,26739.25058,6010.887587,32750.13817,Regular,78
Malaysian Airlines,JSR,Jessore Airport,RJH,"Shah Makhdum Airport, Rajshahi",2025-06-04,2025-06-04,0.516928939,Direct,Airbus A320,Economy,Direct Booking,4686.501299,200,4886.501299,Hajj,85
Qatar Airways,CGP,"Shah Amanat International Airport, Chittagong",SIN,Singapore Changi Airport,2025-10-15,2025-10-15,2.773090473,Direct,Boeing 737,Business,Direct Booking,27519.6227,10127.9434,37647.5661,Regular,32
Qatar Airways,JSR,Jessore Airport,BZL,Barisal Airport,2025-05-07,2025-05-07,0.5,Direct,Airbus A320,First Class,Direct Booking,11308.80634,200,11508.80634,Regular,10
AirAsia,RJH,"Shah Makhdum Airport, Rajshahi",BZL,Barisal Airport,2025-09-30,2025-09-30,0.76529668,Direct,Airbus A320,Business,Online Website,7540.413958,200,7740.413958,Regular,15
Air India,DAC,"Hazrat Shahjalal International Airport, Dhaka",ZYL,"Osmani International Airport, Sylhet",2025-10-24,2025-10-24,0.600685699,Direct,Airbus A320,First Class,Direct Booking,9307.306206,200,9507.306206,Regular,76
Malaysian Airlines,CGP,"Shah Amanat International Airport, Chittagong",KUL,Kuala Lumpur International Airport,2025-05-26,2025-05-26,2.81254284,1 Stop,Boeing 737,First Class,Travel Agency,84748.61602,18712.2924,103460.9084,Regular,23
US-Bangla Airlines,BZL,Barisal Airport,SPD,Saidpur Airport,2025-07-06,2025-07-06,1.173266379,Direct,Airbus A320,Business,Online Website,4253.073603,200,4453.073603,Regular,61
SriLankan Airlines,DAC,"Hazrat Shahjalal International Airport, Dhaka",CXB,Cox's Bazar Airport,2025-05-29,2025-05-29,1.090452399,Direct,Airbus A320,First Class,Direct Booking,11010.70008,200,11210.70008,Regular,88
US-Bangla Airlines,ZYL,"Osmani International Airport, Sylhet",LHR,London Heathrow Airport,2025-07-27,2025-07-27,8.57059643,1 Stop,Airbus A350,First Class,Travel Agency,274593.7134,47189.05702,321782.7705,Regular,24
US-Bangla Airlines,CGP,"Shah Amanat International Airport, Chittagong",JED,"King Abdulaziz International Airport, Jeddah",2025-03-30,2025-03-30,5.469661918,1 Stop,Airbus A350,Business,Direct Booking,103565.7068,19534.85601,123100.5628,Eid,5
British Airways,ZYL,"Osmani International Airport, Sylhet",DOH,"Hamad International Airport, Doha",2025-03-14,2025-03-14,4.65060735,1 Stop,Boeing 787,Economy,Direct Booking,55260.52852,12289.07928,67549.6078,Regular,64
Gulf Air,CGP,"Shah Amanat International Airport, Chittagong",CCU,"Netaji Subhas Chandra Bose International Airport, Kolkata",2025-02-02,2025-02-02,1.081578812,Direct,Airbus A320,First Class,Online Website,106929.3693,18039.4054,124968.7748,Regular,5
FlyDubai,ZYL,"Osmani International Airport, Sylhet",CCU,"Netaji Subhas Chandra Bose International Airport, Kolkata",2025-09-22,2025-09-22,1.572268896,Direct,Airbus A320,Business,Travel Agency,86934.65365,15040.19805,101974.8517,Regular,52
British Airways,ZYL,"Osmani International Airport, Sylhet",DOH,"Hamad International Airport, Doha",2026-01-16,2026-01-17,4.462354215,Direct,Boeing 787,First Class,Travel Agency,76748.20434,15512.23065,92260.43499,Winter Holidays,41
FlyDubai,BZL,Barisal Airport,RJH,"Shah Makhdum Airport, Rajshahi",2025-04-01,2025-04-01,0.756447034,Direct,Airbus A320,Economy,Online Website,4294.123889,200,4494.123889,Eid,40
Gulf Air,BZL,Barisal Airport,SPD,Saidpur Airport,2025-05-30,2025-05-30,1.270381976,Direct,Airbus A320,Economy,Travel Agency,2679.284698,200,2879.284698,Regular,71
SriLankan Airlines,DAC,"Hazrat Shahjalal International Airport, Dhaka",DXB,Dubai International Airport,2025-06-28,2025-06-29,4.310495364,Direct,Boeing 737,Business,Online Website,127591.8709,23138.78064,150730.6516,Regular,19
Turkish Airlines,DAC,"Hazrat Shahjalal International Airport, Dhaka",JSR,Jessore Airport,2025-11-02,2025-11-02,0.5,Direct,Airbus A320,First Class,Direct Booking,11712.70568,200,11912.70568,Regular,7
SriLankan Airlines,DAC,"Hazrat Shahjalal International Airport, Dhaka",BKK,"Suvarnabhumi Airport, Bangkok",2025-08-04,2025-08-05,2.537708951,1 Stop,Boeing 787,Business,Online Website,33913.7286,11087.05929,45000.78788,Regular,64
Biman Bangladesh Airlines,JSR,Jessore Airport,SIN,Singapore Changi Airport,2025-12-02,2025-12-02,3.464156595,Direct,Boeing 787,Economy,Direct Booking,75772.49637,17365.87446,93138.37082,Winter Holidays,26
FlyDubai,CGP,"Shah Amanat International Airport, Chittagong",DXB,Dubai International Airport,2025-12-08,2025-12-08,4.012696254,1 Stop,Boeing 737,Business,Direct Booking,50844.48951,11626.67343,62471.16294,Winter Holidays,42
Gulf Air,BZL,Barisal Airport,IST,Istanbul Airport,2025-05-19,2025-05-19,6.770968162,2 Stops,Boeing 777,Economy,Travel Agency,32304.72812,8845.709218,41150.43733,Regular,80
Kuwait Airways,CXB,Cox's Bazar Airport,LHR,London Heathrow Airport,2025-08-07,2025-08-07,9.852026267,1 Stop,Airbus A350,Economy,Direct Booking,59371.08676,14905.66301,74276.74977,Regular,47
Air Astra,BZL,Barisal Airport,CCU,"Netaji Subhas Chandra Bose International Airport, Kolkata",2025-07-02,2025-07-02,0.58496306,Direct,Airbus A320,Economy,Online Website,5998.340957,2899.751144,8898.092101,Regular,55
Air Astra,CGP,"Shah Amanat International Airport, Chittagong",DXB,Dubai International Airport,2026-01-14,2026-01-14,3.969964106,Direct,Boeing 787,Economy,Direct Booking,56495.8257,12474.37386,68970.19956,Winter Holidays,49
US-Bangla Airlines,SPD,Saidpur Airport,KUL,Kuala Lumpur International Airport,2025-05-30,2025-05-31,2.917315029,1 Stop,Boeing 787,First Class,Direct Booking,249257.9358,43388.69036,292646.6261,Regular,20
FlyDubai,ZYL,"Osmani International Airport, Sylhet",SPD,Saidpur Airport,2025-05-26,2025-05-26,0.994155388,Direct,Airbus A320,Business,Online Website,5107.510632,200,5307.510632,Regular,17
British Airways,ZYL,"Osmani International Airport, Sylhet",CGP,"Shah Amanat International Airport, Chittagong",2026-01-01,2026-01-01,0.939601517,Direct,Airbus A320,First Class,Direct Booking,17003.63107,200,17203.63107,Winter Holidays,26
Thai Airways,CXB,Cox's Bazar Airport,JFK,"John F. Kennedy International Airport, New York",2025-05-15,2025-05-15,13.09783121,2 Stops,Boeing 777,Economy,Direct Booking,47159.46761,13073.92014,60233.38775,Regular,11
Air Arabia,CXB,Cox's Bazar Airport,CGP,"Shah Amanat International Airport, Chittagong",2025-03-26,2025-03-26,0.5,Direct,Airbus A320,First Class,Travel Agency,12239.9334,200,12439.9334,Regular,6
Turkish Airlines,JSR,Jessore Airport,DAC,"Hazrat Shahjalal International Airport, Dhaka",2025-07-24,2025-07-24,0.5,Direct,Airbus A320,First Class,Travel Agency,10143.55982,200,10343.55982,Regular,78
IndiGo,JSR,Jessore Airport,YYZ,Toronto Pearson International Airport,2025-11-26,2025-11-27,13.67238468,1 Stop,Airbus A350,First Class,Online Website,256784.5964,44517.68946,301302.2858,Regular,23
Turkish Airlines,JSR,Jessore Airport,RJH,"Shah Makhdum Airport, Rajshahi",2025-06-29,2025-06-29,0.510187938,Direct,Airbus A320,First Class,Direct Booking,12887.79985,200,13087.79985,Regular,20
Thai Airways,ZYL,"Osmani International Airport, Sylhet",YYZ,Toronto Pearson International Airport,2025-11-17,2025-11-17,14.60809782,1 Stop,Boeing 777,Economy,Travel Agency,19408.67391,8911.301087,28319.975,Regular,88
US-Bangla Airlines,RJH,"Shah Makhdum Airport, Rajshahi",YYZ,Toronto Pearson International Airport,2025-10-29,2025-10-30,14.21827064,1 Stop,Boeing 777,Economy,Online Website,8317.268224,7247.590234,15564.85846,Regular,54
NovoAir,BZL,Barisal Airport,IST,Istanbul Airport,2026-01-24,2026-01-24,6.294593309,1 Stop,Boeing 777,First Class,Direct Booking,254058.6515,42108.79773,296167.4493,Winter Holidays,79
Emirates,CXB,Cox's Bazar Airport,JED,"King Abdulaziz International Airport, Jeddah",2026-01-29,2026-01-30,6.097128778,1 Stop,Boeing 777,Business,Direct Booking,129035.8933,23355.38399,152391.2773,Winter Holidays,50
US-Bangla Airlines,CGP,"Shah Amanat International Airport, Chittagong",DXB,Dubai International Airport,2025-07-26,2025-07-26,4.349734358,Direct,Boeing 787,First Class,Direct Booking,153175.6569,26976.34854,180152.0055,Regular,54
US-Bangla Airlines,BZL,Barisal Airport,YYZ,Toronto Pearson International Airport,2025-12-23,2025-12-24,13.8990265,1 Stop,Boeing 777,Business,Direct Booking,60952.65931,15142.8989,76095.55821,Winter Holidays,30
Biman Bangladesh Airlines,CXB,Cox's Bazar Airport,RJH,"Shah Makhdum Airport, Rajshahi",2025-10-18,2025-10-18,1.483404511,Direct,Airbus A320,Business,Direct Booking,5595.500963,200,5795.500963,Regular,5
Singapore Airlines,DAC,"Hazrat Shahjalal International Airport, Dhaka",CXB,Cox's Bazar Airport,2025-05-18,2025-05-18,1.028750797,Direct,Airbus A320,Business,Direct Booking,5415.757128,200,5615.757128,Regular,78
Kuwait Airways,BZL,Barisal Airport,JSR,Jessore Airport,2025-11-22,2025-11-22,0.5,Direct,Airbus A320,Economy,Online Website,3690.505533,200,3890.505533,Regular,62
SriLankan Airlines,RJH,"Shah Makhdum Airport, Rajshahi",DAC,"Hazrat Shahjalal International Airport, Dhaka",2025-08-04,2025-08-04,0.698770509,Direct,Airbus A320,Economy,Direct Booking,3279.505193,200,3479.505193,Regular,27
FlyDubai,DAC,"Hazrat Shahjalal International Airport, Dhaka",CXB,Cox's Bazar Airport,2025-10-06,2025-10-06,1.112143227,Direct,Airbus A320,First Class,Online Website,9732.81538,200,9932.81538,Regular,85
SriLankan Airlines,BZL,Barisal Airport,DAC,"Hazrat Shahjalal International Airport, Dhaka",2025-04-20,2025-04-20,0.5,Direct,Airbus A320,Economy,Travel Agency,2425.144093,200,2625.144093,Regular,16
US-Bangla Airlines,RJH,"Shah Makhdum Airport, Rajshahi",YYZ,Toronto Pearson International Airport,2025-03-15,2025-03-16,13.01273327,2 Stops,Airbus A350,Economy,Travel Agency,25270.24912,9790.537368,35060.78649,Regular,24
Vistara,RJH,"Shah Makhdum Airport, Rajshahi",YYZ,Toronto Pearson International Airport,2025-11-02,2025-11-03,13.17559287,1 Stop,Airbus A350,Economy,Online Website,6309.973635,6946.496045,13256.46968,Regular,49
Air Astra,SPD,Saidpur Airport,DAC,"Hazrat Shahjalal International Airport, Dhaka",2025-07-16,2025-07-16,0.790162614,Direct,Airbus A320,First Class,Direct Booking,12258.7996,200,12458.7996,Regular,54
Turkish Airlines,DAC,"Hazrat Shahjalal International Airport, Dhaka",SIN,Singapore Changi Airport,2025-06-16,2025-06-16,3.263066759,1 Stop,Boeing 787,First Class,Direct Booking,217593.8784,38639.08177,256232.9602,Regular,48
Gulf Air,ZYL,"Osmani International Airport, Sylhet",CXB,Cox's Bazar Airport,2025-11-14,2025-11-14,1.250921538,Direct,Airbus A320,First Class,Travel Agency,14457.98346,200,14657.98346,Regular,9
Malaysian Airlines,CGP,"Shah Amanat International Airport, Chittagong",YYZ,Toronto Pearson International Airport,2025-07-08,2025-07-08,12.78610093,1 Stop,Airbus A350,First Class,Online Website,143607.5999,27541.13998,171148.7399,Regular,43
Kuwait Airways,SPD,Saidpur Airport,LHR,London Heathrow Airport,2026-02-14,2026-02-14,7.947310564,1 Stop,Airbus A350,Economy,Direct Booking,11207.46669,7681.120003,18888.58669,Winter Holidays,56
Biman Bangladesh Airlines,CGP,"Shah Amanat International Airport, Chittagong",SPD,Saidpur Airport,2025-05-31,2025-05-31,1.634246285,Direct,Airbus A320,First Class,Online Website,10019.74368,200,10219.74368,Regular,77
British Airways,BZL,Barisal Airport,SPD,Saidpur Airport,2025-12-07,2025-12-07,1.274900655,Direct,Airbus A320,First Class,Online Website,13472.60463,200,13672.60463,Winter Holidays,8
Singapore Airlines,CXB,Cox's Bazar Airport,DXB,Dubai International Airport,2025-02-06,2025-02-06,4.093997987,Direct,Boeing 787,Economy,Travel Agency,15978.83976,6396.825964,22375.66573,Regular,33
British Airways,DAC,"Hazrat Shahjalal International Airport, Dhaka",DXB,Dubai International Airport,2025-08-22,2025-08-22,3.793260055,1 Stop,Boeing 787,Business,Travel Agency,39672.6604,9950.899061,49623.55946,Regular,74
Gulf Air,ZYL,"Osmani International Airport, Sylhet",RJH,"Shah Makhdum Airport, Rajshahi",2026-01-14,2026-01-14,1.161536232,Direct,Airbus A320,First Class,Online Website,15741.74665,200,15941.74665,Winter Holidays,41
AirAsia,JSR,Jessore Airport,ZYL,"Osmani International Airport, Sylhet",2025-06-27,2025-06-27,1.225083894,Direct,Airbus A320,Business,Direct Booking,5050.195172,200,5250.195172,Regular,52
NovoAir,CXB,Cox's Bazar Airport,IST,Istanbul Airport,2025-04-08,2025-04-08,6.737111771,2 Stops,Airbus A350,Economy,Direct Booking,22852.08438,7427.812657,30279.89703,Regular,73
Turkish Airlines,JSR,Jessore Airport,DEL,"Indira Gandhi International Airport, Delhi",2025-11-27,2025-11-27,2.18837681,Direct,Boeing 787,Business,Direct Booking,102313.474,17347.02109,119660.4951,Regular,55
Vistara,SPD,Saidpur Airport,JED,"King Abdulaziz International Airport, Jeddah",2026-01-04,2026-01-04,5.671957004,2 Stops,Airbus A350,First Class,Online Website,205784.5698,34867.68548,240652.2553,Winter Holidays,56
FlyDubai,CXB,Cox's Bazar Airport,DAC,"Hazrat Shahjalal International Airport, Dhaka",2025-03-14,2025-03-14,0.966340655,Direct,Airbus A320,First Class,Online Website,12740.5099,200,12940.5099,Regular,6
Turkish Airlines,CGP,"Shah Amanat International Airport, Chittagong",RJH,"Shah Makhdum Airport, Rajshahi",2025-10-14,2025-10-14,1.243847696,Direct,Airbus A320,Business,Direct Booking,8413.197041,200,8613.197041,Regular,10
FlyDubai,RJH,"Shah Makhdum Airport, Rajshahi",SIN,Singapore Changi Airport,2025-11-12,2025-11-12,3.555967783,Direct,Boeing 787,First Class,Travel Agency,128936.9729,25340.54594,154277.5189,Regular,65
Qatar Airways,SPD,Saidpur Airport,JED,"King Abdulaziz International Airport, Jeddah",2025-09-01,2025-09-01,5.684594128,1 Stop,Boeing 777,Economy,Online Website,28703.08937,8305.463405,37008.55277,Regular,40
Singapore Airlines,SPD,Saidpur Airport,JSR,Jessore Airport,2025-03-07,2025-03-07,0.890987244,Direct,Airbus A320,First Class,Online Website,12785.07435,200,12985.07435,Regular,49
Saudia,CXB,Cox's Bazar Airport,JSR,Jessore Airport,2025-11-12,2025-11-12,1.136434935,Direct,Airbus A320,First Class,Online Website,12660.10616,200,15432.12739,Regular,3
Turkish Airlines,CXB,Cox's Bazar Airport,KUL,Kuala Lumpur International Airport,2025-12-19,2025-12-19,2.372519106,1 Stop,Boeing 787,First Class,Travel Agency,33058.30415,10958.74562,44017.04977,Winter Holidays,19
NovoAir,SPD,Saidpur Airport,DEL,"Indira Gandhi International Airport, Delhi",2025-03-04,2025-03-04,2.050634346,1 Stop,Boeing 737,First Class,Online Website,74117.6729,13117.65094,87235.32384,Regular,32
NovoAir,DAC,"Hazrat Shahjalal International Airport, Dhaka",BKK,"Suvarnabhumi Airport, Bangkok",2025-04-10,2025-04-10,2.420668581,Direct,Boeing 787,First Class,Online Website,164455.1722,30668.27584,195123.4481,Regular,52
Air India,RJH,"Shah Makhdum Airport, Rajshahi",ZYL,"Osmani International Airport, Sylhet",2025-08-01,2025-08-01,1.153737464,Direct,Airbus A320,Economy,Travel Agency,1616.461437,200,1816.461437,Regular,82
Turkish Airlines,ZYL,"Osmani International Airport, Sylhet",IST,Istanbul Airport,2025-12-09,2025-12-09,6.947355101,1 Stop,Boeing 777,Economy,Travel Agency,46959.16087,11043.87413,69603.642,Winter Holidays,4
Turkish Airlines,ZYL,"Osmani International Airport, Sylhet",JFK,"John F. Kennedy International Airport, New York",2026-01-10,2026-01-11,12.99600526,1 Stop,Boeing 777,Economy,Travel Agency,49432.78257,13414.91739,62847.69995,Winter Holidays,83
Malaysian Airlines,BZL,Barisal Airport,JED,"King Abdulaziz International Airport, Jeddah",2025-09-29,2025-09-29,5.970855317,1 Stop,Boeing 777,Economy,Travel Agency,46305.08052,10945.76208,57250.8426,Regular,30
Gulf Air,ZYL,"Osmani International Airport, Sylhet",LHR,London Heathrow Airport,2025-03-03,2025-03-03,8.152985479,2 Stops,Airbus A350,Economy,Online Website,41526.33842,12228.95076,53755.28918,Regular,10
SriLankan Airlines,RJH,"Shah Makhdum Airport, Rajshahi",DOH,"Hamad International Airport, Doha",2025-10-22,2025-10-22,4.230733248,Direct,Boeing 737,First Class,Travel Agency,39083.11511,9862.467266,48945.58238,Regular,38
AirAsia,RJH,"Shah Makhdum Airport, Rajshahi",YYZ,Toronto Pearson International Airport,2025-03-10,2025-03-11,12.94838157,1 Stop,Boeing 777,First Class,Online Website,260415.6553,45062.3483,305478.0036,Regular,20
IndiGo,DAC,"Hazrat Shahjalal International Airport, Dhaka",LHR,London Heathrow Airport,2025-06-12,2025-06-12,9.609677121,1 Stop,Airbus A350,Business,Online Website,55528.42636,14329.26395,69857.69032,Regular,6
Turkish Airlines,SPD,Saidpur Airport,RJH,"Shah Makhdum Airport, Rajshahi",2025-04-14,2025-04-14,0.5,Direct,Airbus A320,Business,Direct Booking,6025.836656,200,6225.836656,Regular,18
Saudia,ZYL,"Osmani International Airport, Sylhet",YYZ,Toronto Pearson International Airport,2025-12-18,2025-12-19,13.04139254,1 Stop,Airbus A350,Economy,Online Website,26261.00931,9939.151396,36200.16071,Winter Holidays,81
US-Bangla Airlines,CGP,"Shah Amanat International Airport, Chittagong",DXB,Dubai International Airport,2025-03-20,2025-03-20,4.224985582,1 Stop,Boeing 737,Economy,Online Website,12992.6627,5948.899405,18941.5621,Regular,40
Emirates,RJH,"Shah Makhdum Airport, Rajshahi",JSR,Jessore Airport,2025-11-10,2025-11-10,0.5,Direct,Airbus A320,Business,Direct Booking,9924.368016,200,10124.36802,Regular,11
Etihad Airways,CXB,Cox's Bazar Airport,DXB,Dubai International Airport,2025-04-06,2025-04-06,3.960599943,Direct,Boeing 787,Business,Online Website,142580.2539,25387.03809,167967.292,Regular,27
Qatar Airways,DAC,"Hazrat Shahjalal International Airport, Dhaka",JSR,Jessore Airport,2025-10-04,2025-10-04,0.5,Direct,Airbus A320,Economy,Online Website,2854.993631,200,3054.993631,Regular,67
US-Bangla Airlines,RJH,"Shah Makhdum Airport, Rajshahi",JSR,Jessore Airport,2026-01-17,2026-01-17,0.5,Direct,Airbus A320,First Class,Online Website,13344.53731,200,13544.53731,Winter Holidays,86
SriLankan Airlines,SPD,Saidpur Airport,KUL,Kuala Lumpur International Airport,2025-10-07,2025-10-07,2.948444018,Direct,Boeing 737,Business,Direct Booking,38520.9995,11778.14992,50299.14942,Regular,71
Saudia,DAC,"Hazrat Shahjalal International Airport, Dhaka",YYZ,Toronto Pearson International Airport,2025-05-05,2025-05-06,12.59351289,1 Stop,Boeing 777,Economy,Direct Booking,11527.20187,7729.08028,19256.28215,Regular,10
Turkish Airlines,ZYL,"Osmani International Airport, Sylhet",DOH,"Hamad International Airport, Doha",2025-12-30,2025-12-30,4.11160651,Direct,Boeing 737,Business,Online Website,86839.59804,17025.93971,103865.5377,Winter Holidays,88
Vistara,CGP,"Shah Amanat International Airport, Chittagong",KUL,Kuala Lumpur International Airport,2025-11-12,2025-11-12,2.71286815,Direct,Boeing 787,First Class,Online Website,55535.83025,14330.37454,69866.20479,Regular,83
Emirates,DAC,"Hazrat Shahjalal International Airport, Dhaka",CXB,Cox's Bazar Airport,2025-10-12,2025-10-12,1.055658941,Direct,Airbus A320,Business,Travel Agency,4908.821441,200,5108.821441,Regular,45
AirAsia,RJH,"Shah Makhdum Airport, Rajshahi",DXB,Dubai International Airport,2025-05-06,2025-05-06,3.527301397,Direct,Boeing 737,Business,Online Website,26787.23509,8018.085264,34805.32036,Regular,70
Vistara,CXB,Cox's Bazar Airport,BZL,Barisal Airport,2025-04-10,2025-04-11,0.804232064,Direct,Airbus A320,First Class,Online Website,10270.06231,200,10470.06231,Regular,68
AirAsia,BZL,Barisal Airport,JFK,"John F. Kennedy International Airport, New York",2025-07-12,2025-07-12,12.78804362,1 Stop,Airbus A350,Business,Travel Agency,74981.88564,17247.28285,92229.16849,Regular,81
NovoAir,CGP,"Shah Amanat International Airport, Chittagong",DEL,"Indira Gandhi International Airport, Delhi",2025-09-02,2025-09-02,2.685271893,Direct,Boeing 787,First Class,Travel Agency,250173.9929,39526.09893,289700.0918,Regular,17
Turkish Airlines,JSR,Jessore Airport,ZYL,"Osmani International Airport, Sylhet",2025-03-30,2025-03-30,1.1303097,Direct,Airbus A320,Economy,Direct Booking,3949.320777,200,4149.320777,Eid,54
Thai Airways,DAC,"Hazrat Shahjalal International Airport, Dhaka",CGP,"Shah Amanat International Airport, Chittagong",2026-02-08,2026-02-08,0.794543566,Direct,Airbus A320,First Class,Travel Agency,13654.46041,200,13854.46041,Winter Holidays,71
Turkish Airlines,ZYL,"Osmani International Airport, Sylhet",DAC,"Hazrat Shahjalal International Airport, Dhaka",2025-05-14,2025-05-14,0.618063687,Direct,Airbus A320,Economy,Online Website,2718.399761,200,2918.399761,Regular,79
British Airways,CGP,"Shah Amanat International Airport, Chittagong",DAC,"Hazrat Shahjalal International Airport, Dhaka",2025-03-18,2025-03-18,0.789724923,Direct,Airbus A320,Economy,Online Website,2613.622826,200,2813.622826,Regular,14
Gulf Air,BZL,Barisal Airport,DAC,"Hazrat Shahjalal International Airport, Dhaka",2025-09-08,2025-09-08,0.5,Direct,Airbus A320,Economy,Online Website,2726.471963,200,2926.471963,Regular,70
Singapore Airlines,BZL,Barisal Airport,DAC,"Hazrat Shahjalal International Airport, Dhaka",2026-02-17,2026-02-17,0.5,Direct,Airbus A320,First Class,Online Website,13058.31063,200,13258.31063,Winter Holidays,84
FlyDubai,ZYL,"Osmani International Airport, Sylhet",DEL,"Indira Gandhi International Airport, Delhi",2025-10-27,2025-10-27,2.511744513,Direct,Boeing 737,Economy,Online Website,54298.6926,10144.80389,64443.4965,Regular,6
SriLankan Airlines,BZL,Barisal Airport,RJH,"Shah Makhdum Airport, Rajshahi",2025-10-23,2025-10-23,0.867702021,Direct,Airbus A320,Economy,Direct Booking,4531.874992,200,4731.874992,Regular,20
Air Astra,ZYL,"Osmani International Airport, Sylhet",DOH,"Hamad International Airport, Doha",2025-12-14,2025-12-15,4.784726548,1 Stop,Boeing 737,First Class,Online Website,87011.12121,17051.66818,104062.7894,Winter Holidays,61
Air India,ZYL,"Osmani International Airport, Sylhet",CCU,"Netaji Subhas Chandra Bose International Airport, Kolkata",2025-02-02,2025-02-02,1.373998897,Direct,Airbus A320,Economy,Direct Booking,52048.3735,9807.256024,61855.62952,Regular,32
Air Astra,DAC,"Hazrat Shahjalal International Airport, Dhaka",SPD,Saidpur Airport,2025-11-04,2025-11-04,0.848059672,Direct,Airbus A320,Economy,Direct Booking,3030.416707,200,3230.416707,Regular,24
Malaysian Airlines,CGP,"Shah Amanat International Airport, Chittagong",DAC,"Hazrat Shahjalal International Airport, Dhaka",2025-02-09,2025-02-09,0.688410381,Direct,Airbus A320,Economy,Travel Agency,4069.559897,200,4269.559897,Regular,9
Cathay Pacific,SPD,Saidpur Airport,DEL,"Indira Gandhi International Airport, Delhi",2025-12-31,2025-12-31,2.127896657,Direct,Boeing 787,First Class,Travel Agency,117406.9225,19611.03837,137017.9608,Winter Holidays,72
British Airways,CXB,Cox's Bazar Airport,SPD,Saidpur Airport,2025-12-03,2025-12-03,0.956037832,Direct,Airbus A320,Business,Direct Booking,9672.458776,200,9872.458776,Winter Holidays,58
Lufthansa,RJH,"Shah Makhdum Airport, Rajshahi",CGP,"Shah Amanat International Airport, Chittagong",2025-12-29,2025-12-29,1.242288566,Direct,Airbus A320,Business,Travel Agency,7943.134803,200,8143.134803,Winter Holidays,28
Saudia,CGP,"Shah Amanat International Airport, Chittagong",JED,"King Abdulaziz International Airport, Jeddah",2025-09-29,2025-09-29,6.044675123,1 Stop,Boeing 777,Economy,Travel Agency,5532.962202,4829.94433,10362.90653,Regular,78
US-Bangla Airlines,DAC,"Hazrat Shahjalal International Airport, Dhaka",BZL,Barisal Airport,2025-08-16,2025-08-16,0.5,Direct,Airbus A320,Economy,Direct Booking,2554.909804,200,2754.909804,Regular,49
Cathay Pacific,DAC,"Hazrat Shahjalal International Airport, Dhaka",LHR,London Heathrow Airport,2025-07-25,2025-07-25,8.635315399,2 Stops,Boeing 777,Economy,Direct Booking,28641.87025,10296.28054,38938.15079,Regular,11
Lufthansa,CXB,Cox's Bazar Airport,RJH,"Shah Makhdum Airport, Rajshahi",2025-12-19,2025-12-19,1.517275725,Direct,Airbus A320,Economy,Direct Booking,3404.898473,200,3604.898473,Winter Holidays,90
Air Arabia,RJH,"Shah Makhdum Airport, Rajshahi",SPD,Saidpur Airport,2025-08-04,2025-08-04,0.5,Direct,Airbus A320,Business,Direct Booking,5781.70954,200,5981.70954,Regular,26
US-Bangla Airlines,BZL,Barisal Airport,SIN,Singapore Changi Airport,2025-03-20,2025-03-20,2.928345494,Direct,Boeing 787,Economy,Direct Booking,5821.965947,6873.294892,12695.26084,Regular,5
Air Arabia,RJH,"Shah Makhdum Airport, Rajshahi",DOH,"Hamad International Airport, Doha",2025-05-08,2025-05-08,4.160883802,Direct,Boeing 787,Economy,Direct Booking,11038.39753,5655.759629,16694.15716,Regular,58
Air Arabia,ZYL,"Osmani International Airport, Sylhet",DXB,Dubai International Airport,2025-04-12,2025-04-13,3.944995302,1 Stop,Boeing 737,Business,Direct Booking,49293.04862,11393.95729,72824.4071,Regular,4
Malaysian Airlines,CGP,"Shah Amanat International Airport, Chittagong",DEL,"Indira Gandhi International Airport, Delhi",2025-11-07,2025-11-08,2.45247721,1 Stop,Boeing 787,Business,Direct Booking,27198.6606,6079.799089,33278.45969,Regular,11
Etihad Airways,RJH,"Shah Makhdum Airport, Rajshahi",DOH,"Hamad International Airport, Doha",2025-11-18,2025-11-18,4.114138971,Direct,Boeing 737,Economy,Online Website,56615.04915,12492.25737,69107.30652,Regular,22
AirAsia,SPD,Saidpur Airport,CCU,"Netaji Subhas Chandra Bose International Airport, Kolkata",2026-02-06,2026-02-06,1.205950248,Direct,Airbus A320,Business,Direct Booking,106052.0113,17907.8017,123959.813,Winter Holidays,50
Cathay Pacific,BZL,Barisal Airport,RJH,"Shah Makhdum Airport, Rajshahi",2025-05-06,2025-05-06,0.882621733,Direct,Airbus A320,First Class,Direct Booking,10121.62942,200,10321.62942,Regular,67
